source_id,title,institution,url,publication_date,accessed_date,authenticity,scope_notes
SRC-FOS,Financial Ombudsman Service final decisions database,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/businesses/resolving-complaint/ombudsman-decisions/search,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；裁决对象通常是金融机构的处理，不等同卡组织仲裁
SRC-VISA-LIB,Visa Merchant Resource Library,Visa,https://usa.visa.com/support/merchant/library.html,NOT_DISCLOSED,2026-08-14,OFFICIAL_RULE_EXAMPLE,卡组织商户争议资料入口
SRC-VISA-CE3,Visa Compelling Evidence 3.0 Merchant Readiness,Visa,https://usa.visa.com/content/dam/VCOM/regional/na/us/support-legal/documents/compelling-evidence-3.0-merchant-readiness-mar2023.pdf,NOT_DISCLOSED,2026-08-14,OFFICIAL_RULE_EXAMPLE,历史交易、设备等证据示例；不是个案结果
SRC-MC,Mastercard Chargeback Guide,Mastercard,https://www.mastercard.us/content/dam/public/mastercardcom/na/global-site/documents/chargeback-guide.pdf,NOT_DISCLOSED,2026-08-14,OFFICIAL_RULE_EXAMPLE,流程、理由与证据规则；版本适用性需业务确认
SRC-STRIPE-VIS,Visual evidence packets,Stripe,https://docs.stripe.com/disputes/visual-evidence,NOT_DISCLOSED,2026-08-14,OFFICIAL_RULE_EXAMPLE,证据包视觉与结构示例
SRC-STRIPE-BEST,Dispute evidence best practices,Stripe,https://docs.stripe.com/disputes/best-practices,NOT_DISCLOSED,2026-08-14,OFFICIAL_RULE_EXAMPLE,证据相关性、可读性与提交建议
SRC-STRIPE-LIFE,How disputes work,Stripe,https://docs.stripe.com/disputes/how-disputes-work,NOT_DISCLOSED,2026-08-14,OFFICIAL_RULE_EXAMPLE,争议生命周期与状态；时限因网络和地区而异
SRC-AIRWALLEX,Dispute flow,Airwallex,https://www.airwallex.com/docs/payments/payment-operations/disputes/dispute-flow,NOT_DISCLOSED,2026-08-14,OFFICIAL_RULE_EXAMPLE,争议、预仲裁及状态流程
SRC-ADYEN,Dispute reason codes,Adyen,https://docs.adyen.com/risk-management/understanding-disputes/dispute-reason-codes,NOT_DISCLOSED,2026-08-14,OFFICIAL_RULE_EXAMPLE,理由码与抗辩材料概览
SRC-JPM,Dispute Management User Guide,J.P. Morgan,https://www.jpmorgan.com/content/dam/jpmorgan/documents/payments/client-resource-center/asset-files/pdfs/dispute-managment-user-guide-new-updates-1.pdf,NOT_DISCLOSED,2026-08-14,OFFICIAL_RULE_EXAMPLE,案件字段与结果状态参考
SRC-DRN-4956156,Decision DRN-4956156,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-4956156.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN-5553620,Decision DRN-5553620,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-5553620.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN-4634402,Decision DRN-4634402,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-4634402.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN-3125371,Decision DRN-3125371,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-3125371.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN-5947106,Decision DRN-5947106,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-5947106.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN-5250346,Decision DRN-5250346,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-5250346.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN-4400167,Decision DRN-4400167,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-4400167.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN-3728445,Decision DRN-3728445,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-3728445.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN6563116,Decision DRN6563116,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN6563116.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN-3004919,Decision DRN-3004919,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-3004919.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN-3058378,Decision DRN-3058378,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-3058378.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
SRC-DRN-4403335,Decision DRN-4403335,Financial Ombudsman Service,https://www.financial-ombudsman.org.uk/decision/DRN-4403335.pdf,NOT_DISCLOSED,2026-08-14,PUBLIC_FINAL_DECISION,公开匿名最终决定；仅摘要与结果层级
