case_template_id,证据级别,中文标题,拒付大类,原因码,卡组织,行业,线上/线下,商品类型,证据状态,截止状态,建议动作,最终结局,Agent 模式,路径类型,来源类型,来源定位
CB-CASE-001,SOURCE_EXPLICIT,油漆工泼漆——侵权损失不能用拒付追偿,Consumer Dispute,4853/4854,Mastercard,家装服务,线下,服务,完全缺失,未说明,信息不足,未说明,需要人工确认,正常路径,卡组织规则内置示例,P152; P460; P950; P1157
CB-CASE-002,SOURCE_EXPLICIT,终身会员商户倒闭——服务中断按 18 个月折算拒付,Consumer Dispute,4853,Mastercard,订阅/会员服务,订阅,订阅,充分,未说明,条件性,未说明,需要人工确认,正常路径,卡组织规则内置示例（含明确算式）,P178; P968; P1511
CB-CASE-003,SOURCE_EXPLICIT,花瓶海运——签署“发货即免责”弃权书后商户免责,Consumer Dispute,4853,Mastercard,跨境电商（实物）,线上,其他,充分,未说明,抗辩,未说明,需要人工确认,正常路径,卡组织规则内置示例,P178; P968; P1511
CB-CASE-004,SOURCE_EXPLICIT,空箱/砖块——收到无价值物品按“商品未提供”拒付,Consumer Dispute,4853,Mastercard,电商（实物）,线上,实物,不适用,未说明,抗辩,未说明,需要人工确认,正常路径,卡组织规则内置示例,P178; P967; P1511
CB-CASE-005,SOURCE_EXPLICIT,退款收据被篡改——商户可用“疑似篡改单据”抗辩,Consumer Dispute / Fraud,4853（抗辩码 2001）,Mastercard,通用零售,线上/线下,服务,完全缺失,未说明,抗辩,未说明,需要人工确认,正常路径,卡组织规则内置示例,P162; P184; P335; P694; P957; P1094; P1330
CB-CASE-006,SOURCE_EXPLICIT,退货欺诈——面霜换酸奶/零件被调换,Consumer Dispute,4853（抗辩码 2004）,Mastercard,零售/电子商品,线上,其他,完全缺失,未说明,抗辩,未说明,需要人工确认,正常路径,卡组织规则内置示例,P163; P279; P958; P1042
CB-CASE-007,SOURCE_EXPLICIT,部分授权与撤销——USD 100/75/74.99 规则,Authorization,4808,Mastercard,通用（规则）,线上/线下,其他,完全缺失,未说明,抗辩,未说明,需要人工确认,正常路径,卡组织规则内置示例,P64-65; P84; P934
CB-CASE-008,SOURCE_EXPLICIT,美国自动加油机 USD 1 授权与 500/175 门槛,Authorization,4808,Mastercard,加油/交通,线下（无人终端）,其他,充分,未说明,抗辩,未说明,只读建议,正常路径,卡组织规则内置示例,P61; P885-886
CB-CASE-009,SOURCE_EXPLICIT,CAT 3 无人终端限额与公交 split clearing,Authorization,4808,Mastercard,交通/无人零售,线下（无人终端）,其他,完全缺失,未说明,抗辩,未说明,只读建议,正常路径,卡组织规则内置示例,P115; P921-922; P56-57
CB-CASE-010,SOURCE_EXPLICIT,分期 vs 循环扣款三连例,Consumer Dispute,4853/4850,Mastercard,汽车零售/健身/公用事业,订阅/分期,订阅,完全缺失,未说明,条件性,未说明,需要人工确认,正常路径,卡组织规则内置示例,P312; P330; P1064; P1076
CB-CASE-011,SOURCE_EXPLICIT,Addendum 后续费用：房账餐费与租车停车罚单,Consumer Dispute / Fraud,4853/4837,Mastercard,酒店/租车,线下,其他,完全缺失,未说明,抗辩,未说明,需要人工确认,正常路径,卡组织规则内置示例,P350; P353; P501; P1090; P1093; P1189
CB-CASE-012,SOURCE_EXPLICIT,酒店 No-show 费：满房改宿错收费与 18:00 取消时限,Consumer Dispute,4853,Mastercard,酒店,预订,其他,完全缺失,未说明,条件性,未说明,需要人工确认,正常路径,卡组织规则内置示例,P368; P371; P381; P1103; P1106; P1112
CB-CASE-013,SOURCE_EXPLICIT,变更拒付原因：货到了但已损坏,Consumer Dispute,4853（Change of Reason）,Mastercard,电商（实物）,线上,实物,完全缺失,未说明,条件性,未说明,需要人工确认,正常路径,卡组织规则内置示例,P477; P1171
CB-CASE-014,SOURCE_EXPLICIT,"墨西哥酒店币种错乱——报价 24,000 比索扣了 24,000 欧元",Processing Error,4834（Currency Errors）,Mastercard,酒店/旅游,线上预订,其他,完全缺失,未说明,条件性,未说明,需要人工确认,正常路径,卡组织规则内置示例,P741-742; P1371
CB-CASE-015,SOURCE_EXPLICIT,丹麦 ATM 选欧元却按克朗扣款,Processing Error,4834（ATM Cash and Currency Errors）,Mastercard,银行/ATM,线下（ATM）,其他,完全缺失,未说明,条件性,未说明,需要人工确认,正常路径,卡组织规则内置示例,P741; P872-873
CB-CASE-016,SOURCE_EXPLICIT,双重入账与善意催款函流程,Processing Error（流程）,2011（Refund previously issued）,Mastercard,通用（流程）,通用,其他,完全缺失,未说明,抗辩,未说明,需要人工确认,正常路径,卡组织规则内置示例,P38; P68-69; P510-512; P935
CB-CASE-017,SOURCE_EXPLICIT,第三方旅行重复扣款（Paid by Other Means）,Processing Error,4834（Duplicate / Paid by Other Means）,Mastercard,旅游/OTA,线上,其他,完全缺失,未说明,条件性,未说明,需要人工确认,正常路径,卡组织规则内置示例,P690; P1327-1328
CB-CASE-018,SOURCE_EXPLICIT,合理金额抗辩：持卡人签字的价目表,Processing Error,4834（Unreasonable Amount）,Mastercard,服务行业（维修等）,线下,服务,完全缺失,未说明,抗辩,未说明,需要人工确认,正常路径,卡组织规则内置示例,P770; P1395
CB-CASE-019,SOURCE_EXPLICIT,15 分钟内“幽灵交易”欺诈合规案,Fraud,Compliance Case（All Other Rules Violations）,Mastercard,通用线下零售,线下,其他,完全缺失,未说明,信息不足,未说明,需要人工确认,正常路径,卡组织规则内置示例,P1495-1497
CB-CASE-020,SOURCE_EXPLICIT,网站取消政策“点击接受”披露示例,Consumer Dispute,13.7（Cancelled Merchandise/Services 相关）,Visa,通用电商,线上,其他,完全缺失,未说明,信息不足,未说明,需要人工确认,正常路径,卡组织指南披露示例（图片不在文本层）,P18
CB-CASE-021,SOURCE_EXPLICIT,质量争议示例：修车与酒店房间,Consumer Dispute,13.3,Visa,汽车维修/酒店,线下,服务,完全缺失,未说明,条件性,未说明,需要人工确认,正常路径,卡组织指南内置示例,P43-44
CB-CASE-022,SOURCE_EXPLICIT,Visa Secure 三场景：ECI 5/6/7 的保护差异,Fraud,10.4（Fraud 类保护规则）,Visa,电商,线上,其他,充分,未说明,条件性,未说明,只读建议,正常路径,卡组织指南内置规则示例,P14
