reference_id,provenance,source_ids,source_locations,scheme,reason,seed_present,source_verification,conflicts,proposed_executable_path_or_gap,missing_source_fields,synthetic_additions,initial_state,material_variants,expected_block_or_result,actual_browser_status,evidence
CB-CASE-034,SOURCE_EXPLICIT,SRC-03,§20（第 20 章）,MASTERCARD（ETHOCA）,预防类（对应 4837/4863 场景）,False,NEEDS_CONFIRMATION,CONFLICT-013,Reference-only narrative; no Ethoca live connector,transaction_facts.transaction_id;transaction_facts.order_id;transaction_facts.transaction_time;transaction_facts.amount;transaction_facts.currency;transaction_facts.product_or_service;transaction_facts.authentication_method;transaction_facts.delivery_or_service_status;transaction_facts.refund_status;dispute_facts.dispute_received_at;dispute_facts.response_deadline;dispute_facts.should_accept_or_contest,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,Marketing example is not dispute adjudication or executable case,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
CB-CASE-025,SOURCE_EXPLICIT,SRC-03,§3（第 3 章，约 60-90 行）,VISA,10.4,False,CONFLICTING_SOURCES,CONFLICT-003;CONFLICT-012,Explicit synthetic fraud supplement required,transaction_facts.transaction_id;transaction_facts.order_id;transaction_facts.transaction_time;transaction_facts.delivery_or_service_status;transaction_facts.refund_status;transaction_facts.customer_contact_status;dispute_facts.dispute_received_at;dispute_facts.response_deadline;dispute_facts.merchant_position,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,Source example has no seed; CE rules retain conflicts,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
CB-CASE-026,SOURCE_EXPLICIT,SRC-03,§5（第 5 章）,VISA,13.1,False,NEEDS_CONFIRMATION,CONFLICT-012,Explicit synthetic non-delivery supplement; proposed association with CB-CASE-060,transaction_facts.transaction_id;transaction_facts.order_id;transaction_facts.transaction_time;transaction_facts.authentication_method;transaction_facts.refund_status;transaction_facts.customer_contact_status;dispute_facts.dispute_received_at;dispute_facts.response_deadline;dispute_facts.merchant_position,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,Do not copy source outcome; actual amount and facts must be supplied,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
CB-CASE-031,SOURCE_EXPLICIT,SRC-03,§12（第 12 章）,MASTERCARD,4853,False,VERIFIED_EXTRACTED,,Explicit synthetic digital-access supplement required,transaction_facts.transaction_id;transaction_facts.order_id;transaction_facts.transaction_time;transaction_facts.refund_status;transaction_facts.customer_contact_status;dispute_facts.dispute_received_at,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,No matching seed; content-specific manual rule confirmation,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
CB-CASE-027,SOURCE_EXPLICIT,SRC-03,§6（第 6 章）,VISA,13.2,False,NEEDS_CONFIRMATION,CONFLICT-012,Explicit synthetic subscription supplement required,transaction_facts.transaction_id;transaction_facts.order_id;transaction_facts.refund_status;dispute_facts.dispute_received_at;dispute_facts.response_deadline;dispute_facts.merchant_position,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,No 13.2 built-in Mock fixture; manual source/rule confirmation,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
CB-CASE-002,SOURCE_EXPLICIT,SRC-02,P178;P968;P1511,MASTERCARD,4853,False,VERIFIED_EXTRACTED,,Explicit synthetic amount-calculation supplement required,transaction_facts.transaction_id;transaction_facts.order_id;transaction_facts.transaction_time;transaction_facts.authentication_method;transaction_facts.refund_status;transaction_facts.customer_contact_status;dispute_facts.dispute_received_at,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,No matching seed; original arithmetic is not a runtime award,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
CB-CASE-001,SOURCE_EXPLICIT,SRC-02,P152;P460;P950;P1157,MASTERCARD,4853/4854,False,VERIFIED_EXTRACTED,,Reference-only boundary explanation or explicit synthetic supplement,transaction_facts.transaction_id;transaction_facts.order_id;transaction_facts.transaction_time;transaction_facts.authentication_method;transaction_facts.refund_status;transaction_facts.customer_contact_status;dispute_facts.dispute_received_at;dispute_facts.response_deadline;dispute_facts.merchant_position;dispute_facts.initial_case_status;dispute_facts.should_accept_or_contest,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,No matching seed; rule boundary is not an automatically closed case,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
CB-CASE-040,RULE_DERIVED,SRC-01;SRC-03,SRC-01 P26/P54-58;SRC-03 §3,VISA,10.4,True,CONFLICTING_SOURCES,CONFLICT-003;CONFLICT-012,Library template → director transaction → operations intake,transaction_facts.transaction_id;transaction_facts.order_id;transaction_facts.transaction_time;transaction_facts.amount;transaction_facts.currency;transaction_facts.product_or_service;transaction_facts.delivery_or_service_status;transaction_facts.refund_status;transaction_facts.customer_contact_status;dispute_facts.dispute_received_at;dispute_facts.response_deadline;dispute_facts.merchant_position,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,Conflicting sources; no automatic CE rule authority,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
CB-CASE-060,SYNTHETIC_DEMO,SRC-01;SRC-03,合成案例，无原文定位（见 derived_from_rule_ids）,VISA,13.1,True,NEEDS_CONFIRMATION,CONFLICT-012,Library template → director transaction → operations intake → real file upload,,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,Primary scenario candidate; all required materials and reviews still needed,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
CB-CASE-061,SYNTHETIC_DEMO,SRC-01;SRC-03,合成案例，无原文定位（见 derived_from_rule_ids）,VISA,10.4,True,CONFLICTING_SOURCES,CONFLICT-003;CONFLICT-012,Library template → intake → insufficient material → explicit human decision,,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,Low readiness does not automatically imply Accept,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
CB-CASE-062,SYNTHETIC_DEMO,SRC-02,合成案例，无原文定位（见 derived_from_rule_ids）,MASTERCARD,4808,True,CONFLICTING_SOURCES,CONFLICT-006,Library template → intake → manual rule confirmation,,"Fresh transaction/event IDs, merchant assignment, explicit amount/currency/dates, approved synthetic rule basis and generated material contents; reference outcomes excluded","RECEIVED/NONE/UNKNOWN/NOT_FINAL; no evidence, submissions or financial events",Case-specific sufficient/missing_field/wrong_transaction JSON where code supported; otherwise manual scope/gap,4808 has no built-in fixture; no automatic acceptance authority,NOT RUN,f1fc063 source inspection; full suite 2237 passed/6 skipped is supporting evidence only
