case_id,evidence_code,evidence_name,required,available,source,quality,critical,why,missing_impact,contradiction,privacy
PUB-001,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-001,auth.threeds,3DS认证,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,核对强认证与责任转移,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-001,auth.avs_result,AVS结果,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对账单地址验证结果,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-001,auth.cvv_result,CVV结果,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对卡背码验证结果,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-001,auth.device_ip_match,设备/IP匹配,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,核对本次与历史行为一致性,,,仅记录类型与是否存在，不存原值
PUB-001,history.prior_transactions,历史交易,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,显示既往正常交易关系,,,仅记录类型与是否存在，不存原值
PUB-002,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-002,subscription.cancellation_record,取消记录,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,界定取消与扣款先后,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-002,policy.terms_refund,条款与退款政策,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,证明交易时披露并同意的规则,,,仅记录类型与是否存在，不存原值
PUB-002,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
PUB-003,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-003,fulfillment.tracking,物流轨迹,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明发货与运输节点,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-003,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-003,fulfillment.address_match,地址匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对订单与履约地址,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-003,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
PUB-004,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-004,fulfillment.tracking,物流轨迹,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明发货与运输节点,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-004,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-004,fulfillment.address_match,地址匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对订单与履约地址,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-004,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
PUB-005,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-005,product.description,商品描述,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,固定交易时展示的规格与承诺,,,仅记录类型与是否存在，不存原值
PUB-005,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
PUB-005,policy.terms_refund,条款与退款政策,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明交易时披露并同意的规则,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-005,fulfillment.proof_of_delivery,签收证明,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明送达时间、地点或签收人,,,仅记录类型与是否存在，不存原值
PUB-006,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-006,fulfillment.tracking,物流轨迹,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明发货与运输节点,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-006,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-006,fulfillment.address_match,地址匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对订单与履约地址,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-006,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
PUB-007,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-007,fulfillment.tracking,物流轨迹,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明发货与运输节点,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-007,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-007,fulfillment.address_match,地址匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对订单与履约地址,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-007,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
PUB-008,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-008,fulfillment.tracking,物流轨迹,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明发货与运输节点,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-008,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-008,fulfillment.address_match,地址匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对订单与履约地址,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-008,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
PUB-009,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-009,billing.refund_record,退款记录,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明退款发起、金额、时间与状态,,,仅记录类型与是否存在，不存原值
PUB-009,policy.terms_refund,条款与退款政策,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明交易时披露并同意的规则,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-009,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
PUB-010,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-010,fulfillment.tracking,物流轨迹,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明发货与运输节点,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-010,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-010,fulfillment.address_match,地址匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对订单与履约地址,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-010,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
PUB-011,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-011,product.description,商品描述,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,固定交易时展示的规格与承诺,,,仅记录类型与是否存在，不存原值
PUB-011,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
PUB-011,policy.terms_refund,条款与退款政策,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明交易时披露并同意的规则,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-011,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-012,transaction.receipt,交易收据,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
PUB-012,fulfillment.tracking,物流轨迹,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明发货与运输节点,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-012,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-012,fulfillment.address_match,地址匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对订单与履约地址,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
PUB-012,comms.customer,客户沟通,YES,YES,PUBLIC_DECISION_SUMMARY,PUBLIC_SUMMARY,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-001,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-001,auth.threeds,3DS认证,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,核对强认证与责任转移,,,仅记录类型与是否存在，不存原值
SYN-001,auth.avs_result,AVS结果,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对账单地址验证结果,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-001,auth.cvv_result,CVV结果,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对卡背码验证结果,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-001,auth.device_ip_match,设备/IP匹配,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,核对本次与历史行为一致性,,,仅记录类型与是否存在，不存原值
SYN-001,history.prior_transactions,历史交易,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,显示既往正常交易关系,,,仅记录类型与是否存在，不存原值
SYN-002,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-002,auth.threeds,3DS认证,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,核对强认证与责任转移,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-002,auth.avs_result,AVS结果,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对账单地址验证结果,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
