case_id,step_no,phase,owner,action,output,deadline_rule,escalation
PUB-001,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-001,2,CLASSIFY,RISK,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-001,3,COLLECT,RISK,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-001,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-001,5,DECIDE,RISK,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-001,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-001,7,OUTCOME,FINANCE,记录拒付结果=MERCHANT_PREVAILED；裁决结果=COMPLAINT_NOT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-002,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-002,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-002,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-002,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-002,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-002,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-002,7,OUTCOME,FINANCE,记录拒付结果=NOT_RAISED；裁决结果=COMPLAINT_NOT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-003,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-003,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-003,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-003,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-003,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-003,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-003,7,OUTCOME,FINANCE,记录拒付结果=DISCONTINUED；裁决结果=COMPLAINT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-004,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-004,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-004,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-004,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-004,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-004,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-004,7,OUTCOME,FINANCE,记录拒付结果=MERCHANT_PREVAILED；裁决结果=COMPLAINT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-005,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-005,2,CLASSIFY,BUSINESS,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-005,3,COLLECT,BUSINESS,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-005,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-005,5,DECIDE,BUSINESS,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-005,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-005,7,OUTCOME,FINANCE,记录拒付结果=NOT_PURSUED；裁决结果=COMPLAINT_NOT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-006,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-006,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-006,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-006,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-006,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-006,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-006,7,OUTCOME,FINANCE,记录拒付结果=MERCHANT_PREVAILED；裁决结果=COMPLAINT_NOT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-007,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-007,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-007,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-007,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-007,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-007,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-007,7,OUTCOME,FINANCE,记录拒付结果=MERCHANT_PREVAILED；裁决结果=COMPLAINT_NOT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-008,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-008,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-008,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-008,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
