case_id,title,authenticity,evidence_level,synthetic,industry,item_type,jurisdiction,amount,currency,card_network,original_reason_code,reason_code,cardholder_claim,merchant_claim,core_conflict,dispute_stage,chargeback_outcome,adjudication_outcome,outcome_scope,result_summary,redo_action,special_tags,responsible_team,manual_review_reason,oceanpilot_can_handle,product_gap,recommendation,source_id,rule_basis,import_outcome,notes
PUB-001,未授权理由被商户身份链反驳,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,专业服务,数字服务,英国,429,GBP,NOT_DISCLOSED,NOT_DISCLOSED,FRAUD_CARD_NOT_PRESENT,消费者先称不认识交易，后承认本人付款但质疑服务,商户证明真实卡资料、长期账户、邮箱手机验证、稳定网络和服务履行,商户综合身份与服务证据反驳未授权主张,FINAL_PUBLIC_DECISION,MERCHANT_PREVAILED,COMPLAINT_NOT_UPHELD,FOS_FINAL_DECISION,真实结果：拒付失败，临时退款收回；银行误称可二次拒付，仅另赔£50,先确认主张究竟是未授权还是服务争议；不能在一次失败后随意换理由重提,PUBLIC_DECISION,RISK,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,先确认主张究竟是未授权还是服务争议；不能在一次失败后随意换理由重提,先确认主张究竟是未授权还是服务争议；不能在一次失败后随意换理由重提,SRC-DRN-4956156,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
PUB-002,自动续订但无取消证明,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,订阅服务,数字订阅,英国,115.13,GBP,NOT_DISCLOSED,NOT_DISCLOSED,SUBSCRIPTION_CANCELED,消费者称续订前已取消，但没有确认邮件或表单回执,平台指出消费者承认订阅且条款写明自动续订,取消时间与续订扣款的先后无法由证据证明,FINAL_PUBLIC_DECISION,NOT_RAISED,COMPLAINT_NOT_UPHELD,FOS_FINAL_DECISION,真实结果：因缺取消证明未继续拒付；申诉专员认为成功前景很低,产品应在取消提交时生成不可抵赖回执，并保留条款版本,PUBLIC_DECISION,CUSTOMER_SUPPORT,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,产品应在取消提交时生成不可抵赖回执，并保留条款版本,产品应在取消提交时生成不可抵赖回执，并保留条款版本,SRC-DRN-5553620,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
PUB-003,定制商品多次承诺送达仍未交付,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,家居零售,实体商品,英国,2391.34,GBP,VISA,NOT_DISCLOSED,PRODUCT_NOT_RECEIVED,消费者称商品从未送达且多次承诺日期落空,商户以定制不可取消、已可安排配送为抗辩,商户抗辩没有正面证明在约定日期送达,FINAL_PUBLIC_DECISION,DISCONTINUED,COMPLAINT_UPHELD,FOS_FINAL_DECISION,真实结果：银行停止争议；申诉专员认为应继续并判银行赔付及利息,分类必须围绕未交付事实，定制/不可退不是未收到的直接反驳,PUBLIC_DECISION,CUSTOMER_SUPPORT,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,分类必须围绕未交付事实，定制/不可退不是未收到的直接反驳,分类必须围绕未交付事实，定制/不可退不是未收到的直接反驳,SRC-DRN-4634402,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
PUB-004,错误理由码导致唯一机会浪费,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,电商零售,实体商品,英国,85.97,GBP,NOT_DISCLOSED,REFUND_NOT_RECEIVED_USED_IN_ERROR,PRODUCT_NOT_RECEIVED,消费者未收到任何商品；商户邮件对是否收款/退款互相矛盾,商户以未收到退货为由抗辩退款未到账,实际事实是未收到商品，却选择退款未到账理由,FINAL_PUBLIC_DECISION,MERCHANT_PREVAILED,COMPLAINT_UPHELD,FOS_FINAL_DECISION,真实结果：错误理由码下拒付失败；申诉专员判银行退还款项并赔偿,必须先问清商品是否收到、退款是否承诺，再锁定理由码,WRONG_REASON_CODE,CUSTOMER_SUPPORT,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,必须先问清商品是否收到、退款是否承诺，再锁定理由码,必须先问清商品是否收到、退款是否承诺，再锁定理由码,SRC-DRN-3125371,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
PUB-005,商品不符但已丢弃无法退回,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,珠宝零售,实体商品,英国,25,GBP,MASTERCARD,NOT_DISCLOSED,PRODUCT_NOT_AS_DESCRIBED,消费者称收到的图案与下单不符，但因不适已处置商品,商户先以已送达反驳未收到；后续商品已无法退回,不符主张可能成立，但商品不再可供退回,FINAL_PUBLIC_DECISION,NOT_PURSUED,COMPLAINT_NOT_UPHELD,FOS_FINAL_DECISION,真实结果：未收到理由失败；不符理由因无法退货未继续,补问是否仍持有商品、是否已提出退货以及商户是否拒绝接收,PUBLIC_DECISION,BUSINESS,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,补问是否仍持有商品、是否已提出退货以及商户是否拒绝接收,补问是否仍持有商品、是否已提出退货以及商户是否拒绝接收,SRC-DRN-5947106,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
PUB-006,咨询服务有合同与履行记录,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,咨询服务,专业服务,英国,1199,GBP,NOT_DISCLOSED,NOT_DISCLOSED,PRODUCT_NOT_RECEIVED,消费者称未按约提供服务并认为被骗,商户提交长篇咨询服务履行证据，案件进入预仲裁,签署合同、沟通及交付记录共同证明服务已提供,FINAL_PUBLIC_DECISION,MERCHANT_PREVAILED,COMPLAINT_NOT_UPHELD,FOS_FINAL_DECISION,真实结果：预仲裁后拒付仍失败，临时退款收回,服务类不能只交合同，还要建立交付物与客户使用/沟通时间线,PUBLIC_DECISION,CUSTOMER_SUPPORT,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,服务类不能只交合同，还要建立交付物与客户使用/沟通时间线,服务类不能只交合同，还要建立交付物与客户使用/沟通时间线,SRC-DRN-5250346,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
PUB-007,假酒店网站把款转给真实汇款服务,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,旅游诈骗,资金转移服务,英国,596,GBP,NOT_DISCLOSED,NOT_DISCLOSED,PRODUCT_NOT_RECEIVED,消费者以为预订酒店，实际向汇款服务支付且酒店无预订,收款商户证明其受托的资金转移服务已完成,底层骗局存在，但被争议商户已完成其合同服务,FINAL_PUBLIC_DECISION,MERCHANT_PREVAILED,COMPLAINT_NOT_UPHELD,FOS_FINAL_DECISION,真实结果：汇款服务成功抗辩；申诉专员不要求银行赔付,区分消费者想买的东西、账单商户和实际被争议服务,PUBLIC_DECISION,CUSTOMER_SUPPORT,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,区分消费者想买的东西、账单商户和实际被争议服务,区分消费者想买的东西、账单商户和实际被争议服务,SRC-DRN-4400167,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
PUB-008,假机票骗局中的汇款服务已履约,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,旅游诈骗,资金转移服务,英国,99,GBP,NOT_DISCLOSED,NOT_DISCLOSED,PRODUCT_NOT_RECEIVED,消费者以为向旅行社付机票定金，实际通过汇款服务转账,汇款服务证明已按指令完成转移,机票未获得不代表汇款服务未提供,FINAL_PUBLIC_DECISION,MERCHANT_PREVAILED,COMPLAINT_NOT_UPHELD,FOS_FINAL_DECISION,真实结果：卡交易拒付失败；另有银行转账追索也未追回,建案时识别资金流中哪个主体是商户，避免把诈骗损失误映射为未履约,PUBLIC_DECISION,CUSTOMER_SUPPORT,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,建案时识别资金流中哪个主体是商户，避免把诈骗损失误映射为未履约,建案时识别资金流中哪个主体是商户，避免把诈骗损失误映射为未履约,SRC-DRN-3728445,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
PUB-009,现金与刷卡定金退款归属不清,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,汽车销售,定金,英国,500,GBP,NOT_DISCLOSED,NOT_DISCLOSED,CREDIT_NOT_PROCESSED,消费者称现金部分已退、刷卡部分未退,商户证明仅有一笔£500卡定金，且已向银行账户退款£500,双方对退款对应哪种支付方式存在矛盾，消费者无反证,FINAL_PUBLIC_DECISION,MERCHANT_PREVAILED,COMPLAINT_NOT_UPHELD,FOS_FINAL_DECISION,真实结果：商户抗辩后临时贷记被收回,混合支付必须逐笔关联支付介质、退款去向和金额，防止重复赔付,PUBLIC_DECISION,FINANCE,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,混合支付必须逐笔关联支付介质、退款去向和金额，防止重复赔付,混合支付必须逐笔关联支付介质、退款去向和金额，防止重复赔付,SRC-DRN6563116,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
PUB-010,客人取消不可退酒店而酒店仍营业,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,酒店旅游,住宿服务,英国,318.6,GBP,NOT_DISCLOSED,NOT_DISCLOSED,PRODUCT_NOT_RECEIVED,消费者因疫情与航班取消主动取消酒店,商户证明预订不可退且入住期间酒店可提供服务,是客人不能使用，而非商户取消或无法提供,FINAL_PUBLIC_DECISION,MERCHANT_PREVAILED,COMPLAINT_NOT_UPHELD,FOS_FINAL_DECISION,真实结果：商户抗辩成功，临时贷记收回,把商户取消、政府关闭、消费者取消分成不同事实路径,PUBLIC_DECISION,CUSTOMER_SUPPORT,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,把商户取消、政府关闭、消费者取消分成不同事实路径,把商户取消、政府关闭、消费者取消分成不同事实路径,SRC-DRN-3004919,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
